"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3114",641816,"Mahle, Tyler","3114","100.0","0.229","0.163","0.294","0.392","0.304","0.295","0.224","150","655","86.6","12.3","2317","90.6","90.88","398","1410","1704","0.3","6.59","113","153","117","148","294","318","291"
"3112",554430,"Wheeler, Zack","3112","100.0","0.217","0.108","0.293","0.325","0.259","0.257","0.212","165","761","83.8","8.0","2352","93.8","94.85","430","1614","1498","1.1","7.15","111","152","113","149","295","322","293"
"3070",622491,"Castillo, Luis","3070","100.0","0.253","0.149","0.320","0.402","0.318","0.292","0.230","175","691","86.3","3.7","2195","92.7","91.12","435","1512","1558","-1.6","5.55","114","152","117","147","291","319","291"
"3041",592662,"Ray, Robbie","3041","100.0","0.210","0.179","0.277","0.389","0.282","0.283","0.214","146","694","90.2","17.0","2216","91.9","91.93","514","1589","1452","0.0","6.42","106","154","120","147","298","319","289"
"3015",645261,"Alcantara, Sandy","3015","100.0","0.222","0.139","0.272","0.360","0.276","0.283","0.229","166","749","87.0","3.9","2243","94.2","93.47","437","1605","1410","-0.7","5.95","110","150","116","149","300","316","286"
"2983",621111,"Buehler, Walker","2983","100.0","0.202","0.132","0.251","0.334","0.258","0.273","0.218","143","707","87.0","10.5","2542","91.1","91.40","378","1473","1510","0.3","6.38","113","157","117","151","298","318","295"
"2966",425794,"Wainwright, Adam","2966","100.0","0.218","0.132","0.256","0.350","0.271","0.295","0.242","161","740","87.8","10.0","2440","82.3","82.13","261","1303","1663","-0.2","6.47","116","157","116","148","298","320","299"
"2945",621244,"Berríos, José","2945","100.0","0.224","0.157","0.278","0.381","0.289","0.311","0.241","155","693","88.0","12.3","2141","89.4","89.06","331","1387","1558","-0.3","6.40","109","156","121","149","298","326","297"
"2936",593423,"Montas, Frankie","2936","100.0","0.234","0.143","0.300","0.378","0.294","0.307","0.235","160","683","89.0","11.7","2207","92.9","92.26","439","1483","1453","-0.6","5.97","112","150","119","152","299","326","302"
"2918",592332,"Gausman, Kevin","2918","100.0","0.209","0.139","0.274","0.348","0.266","0.289","0.228","144","690","88.3","11.6","1975","89.3","88.99","474","1523","1395","-0.3","6.48","112","156","115","150","298","323","295"
